approval_seq,company,url,email,defects,audit_draft,final_url,owner_ok,owner_notes
1,株式会社中村工務店,"https://nakamura.ohotk.com/","naka241359@ybb.ne.jp",viewportなし; tel:なし,粗:(1)viewportなし(2)tel:なし,"https://nakamura.ohotk.com/",y,
2,株式会社ビルドテクト,"http://www.sciencetect.jp/","mail.bildtct@clock.ocn.ne.jp",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://www.sciencetect.jp/company.html",y,
3,株式会社基工務店,"http://mtd.jp/","motokou@mtd.jp",SSL未整備; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備(2)tel:なし(3)更新停止感(HTML内2018止),"http://mtd.jp/",y,
4,村上工務店,"http://murakamikoumuten.jp/","murakamikoumuten4396@gmail.com",SSL未整備; tel:なし; 更新停止感(HTML内2019止),粗:(1)SSL未整備(2)tel:なし(3)更新停止感(HTML内2019止),"http://murakamikoumuten.jp/",y,
5,中武建設株式会社,"http://www.nakatake.co.jp/index.html","info@nakatake.co.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.nakatake.co.jp/",y,
6,高野建設有限会社,"http://www.takano-kensetu.jp/","takano.hiroshi@jade.plala.or.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.takano-kensetu.jp/",y,
7,株式会社マゴメ工務店,"http://www.magome-net.co.jp/","info@magome-net.co.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.magome-net.co.jp/company/",y,
8,株式会社田代建築事務所,"http://www.tashiro-kentiku-jimusho.info/","toraoumaru1970@cus4.tashiro-kentiku-jimusho.info",SSL未整備; tel:なし; 更新停止感(HTML内2017止),粗:(1)SSL未整備(2)tel:なし(3)更新停止感(HTML内2017止),"http://www.tashiro-kentiku-jimusho.info/contact/",y,
9,髙須工務店,"http://www.takas.co.jp/","info@takas.co.jp",SSL未整備; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備(2)tel:なし(3)更新停止感(HTML内2018止),"http://www.takas.co.jp/",y,
10,矢島工務店,"http://www.yajima-k.jp/","info@yajima-k.jp",SSL未整備; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備(2)tel:なし(3)更新停止感(HTML内2018止),"http://www.yajima-k.jp/",y,
11,岩田水道工務店,"http://www.iwatasuidou.co.jp/","info@iwatasuidou.co.jp",viewportなし; tel:なし; 更新停止感(HTML内2019止),粗:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2019止),"https://www.iwatasuidou.co.jp/company.html",y,
12,温戸ライフ,"http://www.ondolife.jp/","info@ondolife.jp",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://ondolife.jp/",y,
13,株式会社須藤建設,"http://www.suto-k.co.jp","info@suto-k.co.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.suto-k.co.jp/",y,
14,有限会社松田宅建センター,"http://matsuda-takken.jp","info@matsuda-takken.jp",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://www.matsuda-takken.jp/company/",y,
15,株式会社エースホーム,"http://www.acehome.net/","info@acehome.net",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://acehome.net/",y,
16,株式会社ネオハウス,"http://www.neohouse.jp","info@neohouse.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.neohouse.jp/",y,
17,株式会社森川建築事務所,"http://morikawa-ie.com","info@morikawa-ie.com",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://morikawa-ie.com/contact",y,
18,黒田工務店,"http://kurotakoumuten.web.fc2.com/","kurota-koumuten@hb.tp1.jp",viewportなし; tel:なし; 更新停止感(HTML内2012止),粗:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2012止),"https://kurotakoumuten.web.fc2.com/",y,
19,有限会社木香,"http://mocca-house.com/","info@mocca-house.com",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://mocca-house.com/",y,
20,株式会社ダンデ・ライズ,"http://www.danderise.co.jp/","info@danderise.co.jp",viewportなし; tel:なし,粗:(1)viewportなし(2)tel:なし,"https://www.danderise.co.jp/company/",y,
21,有限会社佐藤工務店,"http://www.bluemoon-s.com/","info@bluemoon-s.com",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.bluemoon-s.com/",y,
22,株式会社望月工務店,"http://www.mochizuki-koumuten.jp/","hikaru@mochizuki-koumuten.jp",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://www.mochizuki-koumuten.jp/",y,
23,株式会社五十嵐建築,"http://www.chachakiki.com/","chachakiki0320@yahoo.co.jp",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2008止),粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.chachakiki.com/",y,
24,株式会社本田谷田部,"http://www.honda-yatabe.com/","info01@honda-yatabe.com",viewportなし; tel:なし; 更新停止感(HTML内2007止),粗:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2007止),"https://www.honda-yatabe.com/company.html",y,
25,株式会社高嶋材木店,"http://www.takashima-zaimoku.jp/","info@takashima-zaimoku.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.takashima-zaimoku.jp/",y,
26,テクノウッドワークス株式会社,"http://www.technowoodworks.com/","sales@technowoodworks.com",SSL未整備; 更新停止感(HTML内2013止),粗:(1)SSL未整備(2)更新停止感(HTML内2013止),"http://www.technowoodworks.com/inquiry/",y,
27,有限会社上野建築事務所,"http://www.ueno-kenchiku.co.jp/","info@ueno-kenchiku.co.jp",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2010止),粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.ueno-kenchiku.co.jp/",y,
28,有限会社出浦商事,"http://www.ideura.com/","info@ideura.com",SSL未整備; 更新停止感(HTML内2005止),粗:(1)SSL未整備(2)更新停止感(HTML内2005止),"http://ideura.com/",y,
29,株式会社匠技建,"http://www.takumigiken.com/","info@takumigiken.com",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://www.takumigiken.com/contact",y,
30,株式会社守屋工務店,"http://www.moriyakoumuten.com/","info@moriyakoumuten.com",viewportなし; tel:なし,粗:(1)viewportなし(2)tel:なし,"https://www.moriyakoumuten.com/",y,
31,株式会社三ツワ金砂郷工場,"http://www.mitsuwa-net.co.jp/","keiri@mitsuwa-net.jp",SSL未整備; tel:なし,粗:(1)SSL未整備(2)tel:なし,"http://www.mitsuwa-net.jp/",y,
32,ＫＡＺ空間企画,"http://www.kaz-kuukan.com","mail@kaz-kuukan.com",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.kaz-kuukan.com/",y,
33,有限会社小畑工務店,"http://www.obata-buildersoffice.com/","obata-k@topaz.bforth.com",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2009止),粗:(1)SSL未整備(2)viewportなし(3)tel:なし,"http://www.obata-buildersoffice.com/company.html",y,
34,株式会社中祥建設,"http://nakasho-kk.jp","waraoya@nifty.com",tel:なし; 更新停止感(HTML内2015止),粗:(1)tel:なし(2)更新停止感(HTML内2015止),"https://nakasho-kk.jp/company",y,
