approval_seq,company,url,email,defects,audit_draft,final_url,owner_ok,owner_notes
1,株式会社中村工務店,"https://nakamura.ohotk.com/","naka241359@ybb.ne.jp",viewportなし; tel:なし,粗:(1)viewportなし(2)tel:なし,"https://nakamura.ohotk.com/",y,
2,株式会社ビルドテクト,"http://www.sciencetect.jp/","mail.bildtct@clock.ocn.ne.jp",SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.sciencetect.jp/company.html",y,
3,株式会社基工務店,"http://mtd.jp/","motokou@mtd.jp",SSL未整備; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2018止),"http://mtd.jp/",y,
4,村上工務店,"http://murakamikoumuten.jp/","murakamikoumuten4396@gmail.com",SSL未整備; tel:なし; 更新停止感(HTML内2019止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2019止),"http://murakamikoumuten.jp/",y,
5,中武建設株式会社,"http://www.nakatake.co.jp/index.html","info@nakatake.co.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.nakatake.co.jp/index.html",y,
6,高野建設有限会社,"http://www.takano-kensetu.jp/","takano.hiroshi@jade.plala.or.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.takano-kensetu.jp/",y,
7,株式会社マゴメ工務店,"http://www.magome-net.co.jp/","info@magome-net.co.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.magome-net.co.jp/company/",y,
8,株式会社田代建築事務所,"http://www.tashiro-kentiku-jimusho.info/","toraoumaru1970@cus4.tashiro-kentiku-jimusho.info",SSL未整備; tel:なし; 更新停止感(HTML内2017止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2017止),"http://www.tashiro-kentiku-jimusho.info/contact/",y,
9,髙須工務店,"http://www.takas.co.jp/","info@takas.co.jp",SSL未整備; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2018止),"http://www.takas.co.jp/",y,
10,矢島工務店,"http://www.yajima-k.jp/","info@yajima-k.jp",tel:なし; 更新停止感(HTML内2018止),粗:(1)tel:なし;(2)更新停止感(HTML内2018止),"https://www.yajima-k.jp/",y,inside hp_improveへ移行 2026-09-01
11,岩田水道工務店,"http://www.iwatasuidou.co.jp/","info@iwatasuidou.co.jp",viewportなし; tel:なし; 更新停止感(HTML内2019止),粗:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2019止),"https://www.iwatasuidou.co.jp/company.html",y,
12,株式会社須藤建設,"http://www.suto-k.co.jp","finfo@suto-k.co.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.suto-k.co.jp/",y,
13,株式会社ネオハウス,"http://www.neohouse.jp","info@neohouse.jp",viewportなし; tel:なし,粗:(1)viewportなし;(2)tel:なし,"https://www.neohouse.jp/",y,
14,黒田工務店,"http://kurotakoumuten.web.fc2.com/","kurota-koumuten@hb.tp1.jp",viewportなし; tel:なし; 更新停止感(HTML内2012止),粗:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2012止),"https://kurotakoumuten.web.fc2.com/",y,
15,有限会社木香,"http://mocca-house.com/","info@mocca-house.com",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://mocca-house.com/",y,
16,株式会社ダンデ・ライズ,"http://www.danderise.co.jp/","info@danderise.co.jp",viewportなし; tel:なし,粗:(1)viewportなし(2)tel:なし,"https://www.danderise.co.jp/company/",y,2026-08-24 除外: owner_ok解除
17,有限会社佐藤工務店,"http://www.bluemoon-s.com/","info@bluemoon-s.com",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.bluemoon-s.com/",y,
18,株式会社五十嵐建築,"http://www.chachakiki.com/","chachakiki0320@yahoo.co.jp",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2008止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.chachakiki.com/",y,
19,株式会社本田谷田部,"http://www.honda-yatabe.com/","info01@honda-yatabe.com",viewportなし; tel:なし; 更新停止感(HTML内2007止),粗:(1)viewportなし(2)tel:なし(3)更新停止感(HTML内2007止),"https://www.honda-yatabe.com/company.html",y,2026-08-24 除外: owner_ok解除
20,株式会社高嶋材木店,"http://www.takashima-zaimoku.jp/","info@takashima-zaimoku.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.takashima-zaimoku.jp/",y,
21,テクノウッドワークス株式会社,"http://www.technowoodworks.com/","sales@technowoodworks.com",SSL未整備; 更新停止感(HTML内2013止),粗:(1)SSL未整備;(2)更新停止感(HTML内2013止),"http://technowoodworks.com/inquiry/",y,
22,有限会社上野建築事務所,"http://www.ueno-kenchiku.co.jp/","info@ueno-kenchiku.co.jp",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2010止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.ueno-kenchiku.co.jp/",y,
23,有限会社出浦商事,"http://www.ideura.com/","info@ideura.com",SSL未整備; 更新停止感(HTML内2005止),粗:(1)SSL未整備;(2)更新停止感(HTML内2005止),"http://ideura.com/",y,
24,株式会社守屋工務店,"http://www.moriyakoumuten.com/","info@moriyakoumuten.com",viewportなし; tel:なし,粗:(1)viewportなし(2)tel:なし,"https://www.moriyakoumuten.com/",y,
25,株式会社三ツワ金砂郷工場,"http://www.mitsuwa-net.co.jp/","keiri@mitsuwa-net.jp",SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.mitsuwa-net.jp/",y,
26,ＫＡＺ空間企画,"http://www.kaz-kuukan.com","mail@kaz-kuukan.com",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2018止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.kaz-kuukan.com/",y,
27,有限会社小畑工務店,"http://www.obata-buildersoffice.com/","obata-k@topaz.bforth.com",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2009止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.obata-buildersoffice.com/company.html",y,
28,株式会社中祥建設,"http://nakasho-kk.jp","waraoya@nifty.com",tel:なし; 更新停止感(HTML内2015止),粗:(1)tel:なし(2)更新停止感(HTML内2015止),"https://nakasho-kk.jp/company",y,
29,加茂建設株式会社,"http://www.orihime.ne.jp/~kamo/","kamo@orihime.ne.jp",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.orihime.ne.jp/~kamo/",y,/ owner OK 2026-08-27 pending batch
30,株式会社星野工務店,"http://www.hoshinokoumuten.co.jp","info@hoshinokoumuten.co.jp",SSL未整備; viewportなし; tel:なし; 更新停止感(HTML内2007止),粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.hoshinokoumuten.co.jp/company.html",y,/ owner OK 2026-08-27 pending batch
31,宮川建設株式会社,"http://miyagawa-home.main.jp","miyagawa-co@wind.ocn.ne.jp",viewportなし; tel:なし; 更新停止感(HTML内2015止),粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2015止),"https://miyagawa-home.main.jp/",y,/ owner OK 2026-08-27 pending batch
32,八神建築株式会社,"http://yagami-kk.jp","info@yagami-kk.jp",SSL未整備; 更新停止感(HTML内2017止),粗:(1)SSL未整備;(2)更新停止感(HTML内2017止),"http://yagami-kk.jp/",y,/ owner OK 2026-08-27 pending batch
33,株式会社高柳組,"http://www.takayanagi.co.jp","info@takayanagi.co.jp",SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.takayanagi.co.jp/company/",y,/ owner OK 2026-08-27 pending batch
34,松本建設株式会社,"http://www.matsuken2581.sakura.ne.jp","kenji-m@car.ocn.ne.jp",SSL未整備; tel:なし; 更新停止感(HTML内2015止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2015止),"http://www.matsuken2581.sakura.ne.jp/",y,/ owner OK 2026-08-27 pending batch
